鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,粉土(%),黏土(%),砂土(%),礫石(%),SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
037790031060921_DA0002,303980.26,2770269.37,16.05,16.5,4.3,50.0,CL,1.82,30.4,,14.0,S-11-2,66.0,31.0,3.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,50.0,1.82,17.025,1.5,16.275,16.275,97.0,29.714,17.739,17.739250000000002,292.4,0.005,153.14,第三類地盤,153.14,60.0,102.0,127.4,0.928,7.3,0.069,0.6,0.8,1.072,0.668,0.05,0.994,3.0,7.1,0.057,0.6,0.8,1.151,0.668,0.042,1.068,3.0,7.5,0.32,0.6,0.8,1.0,0.668,0.233,0.928,3.0,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,17.55,18.0,4.3,2.0,CL,1.9,34.2,,16.0,S-12-2,62.0,34.0,4.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.9,18.525,1.5,17.775,17.775,96.0,32.504,19.029,19.02925,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.625,0.048,0.12,2.522,7.1,0.057,0.6,0.8,1.151,0.625,0.04,0.129,3.0,7.5,0.32,0.6,0.8,1.0,0.625,0.222,0.112,0.504,0.0,0.0,0.828,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,19.05,19.5,4.3,2.0,CL,1.86,36.5,,15.0,S-13-2,62.0,37.0,1.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.86,20.025,1.5,19.275,19.275,99.0,35.324,20.349,20.34925,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.589,0.046,0.12,2.632,7.1,0.057,0.6,0.8,1.151,0.589,0.038,0.129,3.0,7.5,0.32,0.6,0.8,1.0,0.589,0.213,0.112,0.526,0.0,0.0,0.258,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,20.55,21.0,4.3,4.0,CL,1.91,31.9,,15.0,S-14-2,70.0,25.0,5.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,4.0,1.91,21.525,1.5,20.775,20.775,95.0,38.152,21.677,21.676750000000002,158.74,0.009,153.14,第三類地盤,153.14,4.8,8.16,14.792,0.158,7.3,0.069,0.6,0.8,1.072,0.561,0.044,0.169,3.0,7.1,0.057,0.6,0.8,1.151,0.561,0.037,0.182,3.0,7.5,0.32,0.6,0.8,1.0,0.561,0.205,0.158,0.769,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,22.05,22.5,4.3,5.0,CL,2.0,26.8,,14.0,S-15-2,70.0,22.0,8.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,5.0,2.0,23.025,1.5,22.275,22.275,92.0,41.084,23.109,23.10925,171.0,0.009,153.14,第三類地盤,153.14,6.0,10.2,17.24,0.183,7.3,0.069,0.6,0.8,1.072,0.539,0.043,0.196,3.0,7.1,0.057,0.6,0.8,1.151,0.539,0.036,0.211,3.0,7.5,0.32,0.6,0.8,1.0,0.539,0.199,0.183,0.918,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,23.55,24.0,4.3,50.0,CL,1.83,30.6,,16.0,S-16-2,75.0,22.0,3.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,50.0,1.83,24.525,1.5,23.775,23.775,97.0,43.957,24.482,24.48175,292.4,0.005,153.14,第三類地盤,153.14,60.0,102.0,127.4,0.928,7.3,0.069,0.6,0.8,1.072,0.522,0.042,0.994,3.0,7.1,0.057,0.6,0.8,1.151,0.522,0.035,1.068,3.0,7.5,0.32,0.6,0.8,1.0,0.522,0.195,0.928,3.0,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,25.05,25.5,4.3,4.0,CL,1.87,29.1,,16.0,S-17-2,52.0,13.0,35.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,4.0,1.87,26.025,1.5,25.275,25.275,65.0,46.732,25.757,25.75675,158.74,0.009,153.14,第三類地盤,153.14,4.8,8.16,14.792,0.158,7.3,0.069,0.6,0.8,1.072,0.508,0.041,0.169,3.0,7.1,0.057,0.6,0.8,1.151,0.508,0.034,0.182,3.0,7.5,0.32,0.6,0.8,1.0,0.508,0.192,0.158,0.824,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,26.55,27.0,4.3,7.0,CL,1.96,26.5,,15.0,S-18-2,75.0,20.0,5.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,7.0,1.96,27.525,1.5,26.775,26.775,95.0,49.604,27.129,27.129250000000003,191.29,0.008,153.14,第三類地盤,153.14,8.4,14.28,22.136,0.244,7.3,0.069,0.6,0.8,1.072,0.497,0.041,0.261,3.0,7.1,0.057,0.6,0.8,1.151,0.497,0.034,0.281,3.0,7.5,0.32,0.6,0.8,1.0,0.497,0.189,0.244,1.29,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,28.05,28.5,4.3,6.0,CL,1.84,32.9,,13.0,S-19-2,67.0,29.0,4.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,6.0,1.84,29.25,1.725,28.387,28.387,96.0,52.661,28.574,28.573750000000004,181.71,0.009,153.14,第三類地盤,153.14,7.2,12.24,19.688,0.212,7.3,0.069,0.6,0.8,1.072,0.488,0.04,0.227,3.0,7.1,0.057,0.6,0.8,1.151,0.488,0.033,0.244,3.0,7.5,0.32,0.6,0.8,1.0,0.488,0.187,0.212,1.134,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0003,304683.36,2769864.25,1.05,1.5,2.0,7.0,CL,1.84,30.6,,14.0,S-1-2,52.0,42.0,6.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,2.0,7.0,1.84,2.025,2.025,1.012,2.013,94.0,3.703,3.691,3.6905,191.29,0.011,162.5,第三類地盤,162.5,8.4,14.28,22.136,0.244,7.3,0.069,0.6,0.8,1.072,0.981,0.044,0.261,3.0,7.1,0.057,0.6,0.8,1.151,0.981,0.037,0.281,3.0,7.5,0.32,0.6,0.8,1.0,0.981,0.205,0.244,1.192,0.0,0.0,0.0,7.3,0.6,0.8
