計畫名稱,鑽孔編號,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,座標系統,孔口X座標,孔口Y座標,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-3-2,4.05,4.5,SM,21.6,－,NP,2.735,0,68,27,5,1.87,0.78,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-4-2,5.55,6,SM,15.7,－,NP,2.75,4,75,19,2,1.92,0.66,TW97,305005.66,2767671.46,6,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-5-2,7.05,7.5,GM,9.8,－,NP,2.741,44,40,13,3,2.25,0.34,TW97,305005.66,2767671.46,12,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-6-2,8.55,9,SM,14.8,－,NP,2.75,8,72,16,4,2.11,0.5,TW97,305005.66,2767671.46,17,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-7-2,10.05,10.5,SM,22,－,NP,2.741,0,70,26,4,2.02,0.66,TW97,305005.66,2767671.46,6,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-8-2,11.55,12,SM,17.7,－,NP,2.765,0,70,27,3,2.17,0.5,TW97,305005.66,2767671.46,11,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-9-2,13.05,13.5,SM,19.9,－,NP,2.747,0,84,16,0,1.94,0.7,TW97,305005.66,2767671.46,9,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-10-2,14.55,15,CL,31.5,34,12,2.744,0,5,68,27,1.8,1,TW97,305005.66,2767671.46,2,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-11-2,16.05,16.5,CL,37.1,38,14,2.771,0,1,47,52,1.78,1.13,TW97,305005.66,2767671.46,2,,,,305005.66,2767671.46,3.25,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0011,S-12-2,17.55,18,CL,39.4,40,15,2.753,0,1,57,42,1.75,1.19,TW97,305005.66,2767671.46,>50,,,,305005.66,2767671.46,3.25,787.6
