計畫名稱,鑽孔編號,TWD97_X,TWD97_Y,鑽孔地表高程,water_depth(m),試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,N_value,統一土壤分類,上限深度(公尺),下限深度(公尺),含水量(岩石)(%),岩心長度(cm),岩心直徑(cm),單軸壓縮強度(kg/cm2),含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,AASHTO分類,塑性限度(%),細料(%),單位重(t/m3),比重(岩石),縮性指數(%),乾單位重(t/m3),D10(mm),D30(mm),D60(mm),D50(mm),尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體初始單位重(t/m3),統體密度(t/m3),破壞應變(%),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),消散指數1(%),消散指數2(%),凝聚力(kg/cm2),內摩擦角(度),壓縮指數(Cc),有效凝聚力(kg/cm2),有效內摩擦角(度),回脹應變量(%),試體初始含水量(%),試體初始單位重(t/m3),再壓指數(Cr),預壓密壓力(kg/cm2),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),初始含水量(%),初始單位重(t/m3),彈性模數(kg/cm2),乾密度(t/m3),孔隙率(岩石)(%),破壞載重(kg),點載重強度指數(kg/cm2),點載重強度指數(50mm)(kg/cm2),有效尖峰凝聚力(kg/cm2),有效尖峰內摩擦角(度),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,有機物(%),硫酸鹽含量(ppm),亞硫酸鹽含量(ppm),pH 值,氯化物含量(ppm)
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-11,,,S-11,6,CL,16.05,16.5,,,,,27.6,29.8,11.7,2.65,0,31,34,35,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-13,,,S-13,19,SM,19.05,19.5,,,,,20.2,,,2.72,0,64,29,7,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-15,,,S-15,18,SM,22.05,22.5,,,,,26.6,,,2.67,0,73,22,5,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-18,,,S-18,17,SM,26.55,27,,,,,24.6,,,2.68,0,78,18,4,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-20,,,S-20,16,ML,29.55,30,,,,,13.2,,,2.71,0,14,76,10,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-21,,,S-21,31,SM,31.55,32,,,,,19.9,,,2.68,0,52,45,3,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-22,,,S-22,8,CL-ML,33.55,34,,,,,21.6,27.7,6.4,2.67,0,41,45,14,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,S-24,,,S-24,10,ML,37.55,37.91,,,,,13.7,,,2.68,0,20,66,14,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-146,184097.1792,2515480.716,24.15,1.3,RUC51,,UNIAXIAL COMPRESSION TEST,R-1,,,38.04,38.14,15.6,,,4.38,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-2,,,S-2,4,CL,2.55,3,,,,,21.5,35.9,16,2.66,0,21,52,27,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-4,,,S-4,3,CL,5.55,6,,,,,30.6,42.9,26.2,2.67,0,4,44,52,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-5,,,S-5,9,CL,7.25,7.7,,,,,21,26.1,7.6,2.67,0,22,66,12,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,T-1,,,T-1,,CL,8.31,8.64,,,,,30.1,28,11,2.66,0,4,79,17,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-6,,,S-6,5,CL,8.95,9.4,,,,,33.7,40.3,21.5,2.73,0,4,51,45,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-8,,,S-8,,CL,12.05,12.5,,,,,31.6,30.5,11.6,2.73,0,1,80,19,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-10,,,S-10,7,CL,15.05,15.5,,,,,26.7,35.5,18.2,2.73,0,43,29,28,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-11,,,S-11,14,SM,16.55,17,,,,,22.3,,,2.73,0,74,19,7,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-16,,,S-16,26,SM,24.05,24.5,,,,,21.7,,,2.73,0,64,29,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-20,,,S-20,68,SM,30.55,31,,,,,16.1,,,2.69,0,83,12,5,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-23,,,S-23,36,SM,36.55,37,,,,,21.4,,,2.72,0,69,25,6,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-24,,,S-24,100,ML,37.15,37.37,,,,,14,,,2.73,0,4,82,14,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-25,,,S-25,7,SM,39.05,39.5,,,,,15.9,,,2.68,7,65,25,10,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-147,184109.1793,2515271.717,24.51,1.47,S-26,,,S-26,57,GM,40,40.45,,,,,8.5,,,2.74,49,36,12,3,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-1,,,S-1,4,SM,1.05,1.5,,,,,19,,,2.66,0,57,34,9,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-3,,,S-3,,ML,4.05,4.5,,,,,35,35,9.5,2.67,0,14,74,12,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,T-1,,,T-1,,CL,5.31,5.42,,,,,33.3,35.1,15.9,2.74,0,4,67,29,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,UC-98,無圍壓縮試驗,UNCONFINED COMPRESSION TEST,T-1,,,5.31,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,7.1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,T-2,,,T-2,,CH,5.88,6.21,,,,,30.7,56.2,29.4,2.73,0,5,37,58,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-4,,,S-4,6,CL,6.5,6.9,,,,,23.9,34.1,12.7,2.7,0,6,80,14,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,DS-41,,DIRECT SHEAR TEST,T-3,,,9.07,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,T-3,,,T-3,,SM,9.07,9.16,,,,,27.4,,,2.72,0,51,44,5,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-5,,,S-5,4,ML,9.35,9.8,,,,,26,,,2.68,0,49,42,9,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,T-4,,,T-4,,CL,12.25,13,,,,,29.5,48.9,24.7,2.67,0,1,39,60,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-7,,,S-7,7,CL,13,13.45,,,,,30,44.9,21.1,2.7,0,2,71,27,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-8,,,S-8,8,CL,15.55,16,,,,,32.3,45,20.7,2.69,0,31,38,31,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-12,,,S-12,18,SM,21.55,22,,,,,26.3,,,2.7,0,81,18,1,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-15,,,S-15,16,SM,26.05,26.5,,,,,29.6,,,2.69,0,59,39,2,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-18,,,S-18,55,SM,29.7,30.15,,,,,18.7,,,2.66,0,60,36,4,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-19,,,S-19,12,CL,31.55,32,,,,,25,29.6,11,2.66,0,14,70,6,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-21,,,S-21,10,CL,35.55,36,,,,,32.3,36.9,14.1,2.72,0,6,70,24,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-22,,,S-22,31,SM,37.55,38,,,,,17.8,,,2.69,0,76,21,3,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-148,184171.1791,2514977.718,24.96,,S-24,,,S-24,28,SM,41.55,42,,,,,15.4,,,2.66,0,79,17,4,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-1,,,S-1,4,CL,1.05,1.5,,,,,15.1,32.7,12.7,2.65,0,22,58,20,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-3,,,S-3,6,SM,4.05,4.5,,,,,21,,,2.66,0,69,26,5,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,T-1,,,T-1,,CL,5.05,5.38,,,,,35.5,31.8,15.1,2.72,0,3,66,31,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,T-2,,,T-2,,CL,5.8,5.9,,,,,27,46.6,25.7,2.73,0,9,44,47,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,UC-99,無圍壓縮試驗,UNCONFINED COMPRESSION TEST,T-2,,,5.8,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-4,,,S-4,14,CL,6.45,6.9,,,,,20.6,42.7,21.5,2.66,0,24,56,40,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,T-3,,,T-3,,CL,8.19,8.52,,,,,36.1,48.6,22,2.72,0,3,41,56,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,TC-52,,TRIAXIAL COMPRESSION TEST,T-3,,,8.19,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,15.5,,0,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-5,,,S-5,5,,8.6,9.05,,,,,28.5,,,2.72,0,3,59,38,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,T-4,,,T-4,,CL,11.12,11.16,,,,,30.3,39.5,18.2,2.67,0,1,59,40,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-7,,,S-7,8,CL,11.7,12.15,,,,,23.1,42,20.2,2.74,0,45,43,12,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-9,,,S-9,20,SM,14.55,15,,,,,15.2,,,2.72,0,65,27,8,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,DS-42,,DIRECT SHEAR TEST,T-5,,,17.61,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,T-5,,,T-5,,SM,17.61,17.7,,,,,28,,,2.67,0,81,17,2,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-11,,,S-11,11,SM,17.75,18.2,,,,,19.3,,,2.71,0,81,16,3,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-13,,,S-13,20,SM,20.55,21,,,,,23.2,,,2.72,0,81,15,4,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-15,,,S-15,8,SM,23.55,24,,,,,25.5,,,2.74,0,62,34,4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-17,,,S-17,16,SM,27.55,28,,,,,22.8,,,2.65,0,62,36,2,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-19,,,S-19,4,CL-ML,31.55,32,,,,,17.8,18.7,4.9,2.72,0,39,44,17,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,S-21,,,S-21,2,ML,35.55,36,,,,,15.2,,,2.68,0,48,40,12,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-149,184140.1793,2514743.719,24.58,2.7,RUC52,,UNIAXIAL COMPRESSION TEST,R-1,,,37.55,37.65,16.5,,,1.39,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-2,,,S-2,9,CL,3.55,4,,,,,20.8,41.2,20.9,2.65,0,33,47,20,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-4,,,S-4,5,SM,5.55,6,,,,,25.7,,,2.72,0,67,30,3,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,T-1,,,T-1,,CL,6.85,7.18,,,,,44.5,41.3,16.9,2.71,0,3,64,33,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-5,,,S-5,8,CL,7.55,8,,,,,30.2,49.4,27.5,2.67,0,1,55,44,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,T-2,,,T-2,,CL,8.94,9.05,,,,,33,27.4,8.8,2.68,0,1,89,10,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,UC100,無圍壓縮試驗,UNCONFINED COMPRESSION TEST,T-2,,,8.94,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,7.2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-6,,,S-6,7,CL,9.25,9.6,,,,,30.6,40.4,18.9,2.7,0,1,40,59,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-8,,,S-8,20,SM,12.05,12.5,,,,,19.2,,,2.66,0,86,13,1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,DS-43,,DIRECT SHEAR TEST,T-3,,,13.27,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30.5,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,T-3,,,T-3,,SP,13.27,13.36,,,,,23.7,,,2.65,0,96,1,3,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-10,,,S-10,14,SM,15.05,15.5,,,,,20.1,,,2.66,0,80,17,3,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-13,,,S-13,12,SM,20.55,21,,,,,31.2,,,2.69,0,81,18,1,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-15,,,S-15,16,ML,23.55,24,,,,,26,,,2.67,0,8,87,5,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,RUC53,,UNIAXIAL COMPRESSION TEST,R-1,,,26.14,26.24,8.8,,,7.22,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-150,184100.1796,2514307.721,21.76,,S-17,,,S-17,>50,CL-ML,30.5,30.6,,,,,8.1,23.4,5.4,2.7,0,34,45,21,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-151,184142.1795,2514041.723,21.96,1.5,S-1,,,S-1,6,CL,2.55,3,,,,,22.6,42.4,18.2,2.66,0,16,58,26,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-151,184142.1795,2514041.723,21.96,1.5,S-2,,,S-2,3,SM,4.05,4.5,,,,,19.2,,,2.71,0,58,33,9,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高速鐵路台南--高雄段補充地質調查,0097274283078_BH-151,184142.1795,2514041.723,21.96,1.5,S-4,,,S-4,7,CL,7.05,7.5,,,,,34.6,45,23.3,2.7,0,1,51,48,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
