計畫名稱,鑽孔編號,試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體密度(t/m3),空隙比,D10(mm),D30(mm),D60(mm),統體單位重(t/m3),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,壓縮指數(Cc),再壓指數(Cr),預壓密壓力(kg/cm2),試體初始含水量(%),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),座標系統,孔口X座標,孔口Y座標,尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),試體最終單位重(t/m3),細料(%),乾密度(t/m3),凝聚力(kg/cm2),內摩擦角(度),有效凝聚力(kg/cm2),有效內摩擦角(度),初始含水量(%),最終含水量(%),初始單位重(t/m3),初始飽和度(%),破壞時孔隙水壓參數A,壓密係數(10^-3cm2/s),不擾動試體初始單位重(t/m3),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),試體初始單位重(t/m3),最終單位重(t/m3),不擾動剪力強度(kg/cm2),重模剪力強度(kg/cm2),十字片直徑(mm),十字片長度(mm),乾單位重(t/m3),孔口Y座標.1,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-13,22.0,22.5,CL,36.5,36.8,12.5,2.72,,,,,,1.07,,,,1.8,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-14,23.5,24.0,CL-ML,26.6,25.8,5.2,2.71,,,,,,0.76,,,,1.95,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-15,25.0,25.5,CL,30.9,34.6,13.4,2.72,,,,,,0.84,,,,1.93,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-16,26.5,27.0,CL,31.1,34.8,13.1,2.72,,,,,,0.85,,,,1.93,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-17,28.0,28.5,CL,33.2,36.6,13.3,2.73,,,,,,0.93,,,,1.89,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-18,29.5,30.0,CL,35.5,37.7,14.7,2.72,,,,,,1,,,,1.84,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-19,31.0,31.5,CL,30.9,34.5,11.3,2.72,,,,,,0.9,,,,1.87,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-20,32.5,33.0,CL,29.3,34.1,13.5,2.72,,,,,,0.9,,,,1.85,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,T-4,34.3,34.4,,,,,,,,,,,,,,,,1.72,9.22,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,T-4,34.3,34.4,,,,,,,,,,,,,,,,,,,,,,,,,0.213,,,30.2,24.7,0.886,0.673,92.7,100.0,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-21,34.5,35.0,CL,31.7,41.7,17.9,2.72,,,,,,0.86,,,,1.92,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-22,35.5,36.0,ML,21.5,22.4,3.3,2.71,,,,,,0.63,,,,2.03,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-23,37.0,37.5,CL-ML,23.4,26.2,6.2,2.71,,,,,,0.86,,,,1.8,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-24,38.5,39.0,SM,18.6,--,NP,2.67,,,,,,0.56,,,,2.03,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,306783.2249,2771573.851,3.1,105.26
