Hole_ID,X,Y,Z,LPI_Design,LPI_MidEq,LPI_MaxEq
01016607DG168_SA-4,306783.225,2771573.851,,15.099,0.0,16.328
03720051-841(137)_CH-13,306759.713,2771520.755,,11.001,0.0,12.55
83469825-113022_B-1,306617.4,2771550.6,,27.959,1.947,29.987
